sample_name,file,l_asx_area,l_asx_meas_ret_time,d_asx_area,d_asx_meas_ret_time,l_glu_area,l_glu_meas_ret_time,d_glu_area,d_glu_meas_ret_time,l_ser_area,l_ser_meas_ret_time,d_ser_area,d_ser_meas_ret_time,l_thr_area,l_thr_meas_ret_time,l_his_area,l_his_meas_ret_time,gly_area,gly_meas_ret_time,l_arg_area,l_arg_meas_ret_time,d_arg_area,d_arg_meas_ret_time,l_ala_area,l_ala_meas_ret_time,lh_arg_area,lh_arg_meas_ret_time,d_ala_area,d_ala_meas_ret_time,l_tyr_area,l_tyr_meas_ret_time,l_val_area,l_val_meas_ret_time,l_met_area,l_met_meas_ret_time,d_met_area,d_met_meas_ret_time,d_val_area,d_val_meas_ret_time,l_phe_area,l_phe_meas_ret_time,l_ile_area,l_ile_meas_ret_time,d_phe_area,d_phe_meas_ret_time,l_leu_area,l_leu_meas_ret_time,d_ile_area,d_ile_meas_ret_time,d_leu_area,d_leu_meas_ret_time,x53,x54,x55,x56,x57,file_name
15584bF,G1067 2022-10-27 12-03-40-1620.xls,3131.98,18.07,2220.91,18.98,513.78,26.77,253.79,28.57,670.24,29.33,656.39,31.64,637.25,37.11,80,37.93,1340.88,39.09,678.15,44.27,548.53,45.76,1697.76,47.01,696.69,49.08,1447.41,51.24,227.08,55.19,571.43,65.87,70.42,67.33,NA,NA,369.22,73.5,321.06,75.3,451.51,76.16,267.95,78.9,545.25,82.42,352.49,84.15,439.7,87.01,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15584bF,G1067 2022-10-27 12-03-40-1647.xls,3508.31,17.89,2496.07,18.58,566.85,26.8,278.68,28.59,740.45,29.37,736.47,31.66,714.85,37.12,85.23,37.97,1211.38,39.12,769.22,44.34,616.71,45.82,1908.94,47.06,809.34,49.15,1632.93,51.29,286.92,55.22,669.12,65.89,75.87,67.34,NA,NA,434.48,73.51,378.73,75.3,526.34,76.17,307.67,78.89,645.28,82.4,414.81,84.1,508.93,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15585bF,G1067 2022-10-27 12-03-40-1721.xls,1569.62,18.08,1115.05,18.98,367.55,26.78,193.75,28.57,355.86,29.33,352.91,31.64,390.44,37.1,46.94,37.9,820.34,39.07,162.2,44.23,168.46,45.71,1065.81,46.97,783.83,49.04,930.66,51.2,81.22,55.14,402.8,65.83,67.99,67.29,NA,NA,235.6,73.46,183.23,75.27,336.23,76.14,137.04,78.86,364.73,82.39,234.69,84.1,262.48,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15585bF,G1067 2022-10-27 12-03-40-1748.xls,1625.99,18.12,1161.65,18.97,371.64,26.89,196.66,28.75,362.86,29.51,368.44,31.93,413.71,37.44,29.28,38.12,991.96,39.41,159.3,44.31,169.4,45.79,1107.11,47.21,813.49,49.11,959.08,51.27,79.96,55.18,414.51,65.86,59.24,67.29,NA,NA,241.66,73.47,188.04,75.25,352.28,76.13,139.64,78.84,361.56,82.35,237.11,84.05,271.31,86.92,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15586bF,G1067 2022-10-27 12-03-40-1822.xls,2621.6,18.06,1850.51,18.96,427.9,26.76,215.58,28.55,510.04,29.32,514.2,31.63,474.26,37.11,73.17,37.94,1207.98,39.1,442.31,44.28,378.96,45.76,1527.42,47.01,757.19,49.08,1391.56,51.24,63.85,55.19,583.21,65.85,179.21,67.31,NA,NA,416.81,73.48,255.98,75.27,411.56,76.14,218.31,78.87,497.59,82.39,353.9,84.11,408.51,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15586bF,G1067 2022-10-27 12-03-40-1849.xls,2707.5,18.03,1913.78,18.95,423.83,26.67,209.49,28.43,516.59,29.24,507.28,31.47,500.13,36.83,66.88,37.78,780.08,38.81,430.25,44.25,382.17,45.74,1524.43,46.83,760.9,49.07,1391.56,51.21,36.1,55.16,600.11,65.81,153.46,67.23,NA,NA,427.21,73.42,247.55,75.2,412.17,76.08,219.41,78.79,489.09,82.32,367.09,84.03,421.99,86.91,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15596bF,G1067 2022-10-27 12-03-40-1923.xls,1931.74,18.06,1461.41,18.95,398.16,26.76,249.46,28.55,224.76,29.32,223.51,31.62,233.78,37.09,59.57,37.9,1150.68,39.05,193.99,44.14,256.4,45.63,1194.35,46.91,740.03,48.99,1121.06,51.13,135.21,55.07,457.65,65.78,70.61,67.23,NA,NA,320.33,73.4,206.3,75.2,339.93,76.07,172.97,78.79,405.77,82.32,258.85,84.04,315.29,86.91,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15596bF,G1067 2022-10-27 12-03-40-1950.xls,2037.49,18.08,1541.13,19,402.45,26.75,252.77,28.52,233.2,29.32,229.48,31.6,250.09,37.04,50.61,37.91,907.17,39.03,199.5,44.29,209.69,45.78,1243.33,47,783.99,49.13,1174.11,51.28,138.37,55.21,483.22,65.82,53.66,67.28,NA,NA,340.92,73.43,198.5,75.24,344.34,76.06,166.91,78.83,420.09,82.33,302.15,84,335.5,86.91,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15597bF,G1067 2022-10-27 12-03-40-2024.xls,2380.07,18.06,1698.85,18.95,549.93,26.76,261.67,28.55,388.8,29.32,399.33,31.63,484.88,37.1,39.49,37.91,1042.94,39.07,221.26,44.17,252.69,45.66,1160.07,46.95,761.66,49.03,932.62,51.17,22.47,55.08,535.39,65.79,87.82,67.23,NA,NA,204.73,73.4,242.39,75.19,516.45,76.06,156.33,78.79,469.25,82.31,199.86,84.03,269.74,86.9,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15597bF,G1067 2022-10-27 12-03-40-2051.xls,2791.09,17.39,2039.78,18.4,645.44,25.95,307.39,27.75,469.94,29.33,479.59,31.62,605.31,37.04,67.51,37.92,1023.66,39.04,268.54,44.31,226.02,45.79,1409.24,46.95,974.35,49.11,1094.63,51.21,37.07,55.07,657.24,65.72,102.06,67.24,NA,NA,251.43,73.36,273.7,75.19,606.29,75.98,184.62,78.78,558.12,82.27,238.4,83.96,318.17,86.86,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15598bF,G1067 2022-10-27 12-03-40-2126.xls,3454.32,18.04,2527.73,18.91,708.53,26.76,306.58,28.55,672.92,29.32,656.97,31.63,712.67,37.1,65.02,37.92,1647.99,39.08,601.66,44.26,511.68,45.74,1981.73,46.99,753.07,49.07,1556.2,51.22,294.93,55.15,897.18,65.82,85.52,67.27,NA,NA,418.34,73.44,377.89,75.24,649.13,76.11,270.36,78.84,743.19,82.36,364.5,84.08,472.99,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
